timestamp msgid x y z
MM:SS.xxx ID m m m
00:00.261 32 0.003655 -0.000254 -0.058029
00:00.934 32 0.003695 -0.000238 -0.058303
00:01.413 32 0.003768 -0.000225 -0.058659
00:01.820 32 0.003844 -0.000216 -0.059084
00:02.440 32 0.003896 -0.000201 -0.059444
00:02.936 32 0.003954 -0.000176 -0.060006
00:03.327 32 0.004000 -0.000150 -0.060543
00:03.932 32 0.004057 -0.000131 -0.061039
00:04.404 32 0.004112 -0.000131 -0.061430
00:04.803 32 0.004189 -0.000131 -0.062048
00:05.422 32 0.004262 -0.000125 -0.062695
00:05.915 32 0.004314 -0.000119 -0.063199
00:06.307 32 0.004385 -0.000110 -0.063769
00:06.937 32 0.004461 -0.000094 -0.064256
00:07.431 32 0.004519 -0.000081 -0.064576
00:07.861 32 0.004600 -0.000064 -0.064988
00:08.524 32 0.004682 -0.000047 -0.065419
00:09.051 32 0.004763 -0.000033 -0.065949
00:09.473 32 0.004821 -0.000031 -0.066304
00:10.132 32 0.004907 -0.000021 -0.066773
00:10.630 32 0.004993 -0.000008 -0.067208
00:11.061 32 0.005061 0.000008 -0.067530
00:11.682 32 0.005151 0.000031 -0.067904
00:12.183 32 0.005236 0.000057 -0.068233
00:12.571 32 0.005317 0.000093 -0.068441
00:14.163 32 -0.179957 0.306062 -9.451840
00:15.167 32 -0.156810 0.374735 -9.576321
00:17.125 32 -0.154819 0.377059 -9.581025
00:18.141 32 -0.151847 0.379780 -9.586748
00:18.890 32 -0.148518 0.382367 -9.592626
00:20.076 32 -0.144899 0.385270 -9.599756
00:21.035 32 0.181124 0.168192 -9.873974
00:22.452 32 0.143938 0.163429 -9.885713
00:23.682 32 0.142361 0.165156 -9.886526
00:24.989 32 0.140539 0.167620 -9.887794
00:25.895 32 0.138913 0.170036 -9.889194
00:26.749 32 0.135801 0.173383 -9.891012
00:27.721 32 0.107899 0.280322 -9.971361
00:29.402 32 0.106146 0.279775 -9.975298
00:30.264 32 0.103261 0.277632 -9.980060
00:30.991 32 0.099778 0.274871 -9.984840
00:32.318 32 0.095383 0.271661 -9.989371
00:33.220 32 0.091087 0.269058 -9.993945
00:34.167 32 -0.014831 0.240318 -9.974699
00:35.070 32 -0.045014 0.196247 -9.977035
00:36.875 32 -0.047136 0.193151 -9.977492
00:37.724 32 -0.049420 0.190369 -9.977707
00:38.465 32 -0.052001 0.187766 -9.977668
00:39.609 32 -0.054471 0.185671 -9.978065
00:40.830 32 0.175015 0.253119 -10.007017
00:41.373 32 0.172257 0.249189 -10.009617
00:43.124 32 0.169834 0.248197 -10.010716
00:43.936 32 0.165707 0.247235 -10.012351
00:44.733 32 0.162177 0.246628 -10.013442
00:46.733 32 0.208108 0.187063 -4.812626
00:47.470 32 0.197190 0.202550 -4.706224
00:49.186 32 0.195791 0.208667 -4.667250
00:50.506 32 0.193358 0.215260 -4.622747
00:51.395 32 0.190534 0.222111 -4.579574
00:52.242 32 0.186319 0.226109 -4.542067
00:53.423 32 0.014289 0.563295 -2.380354
00:54.214 32 0.016579 0.572113 -2.380490
00:55.531 32 0.015369 0.580886 -2.379710
00:56.578 32 0.016149 0.590561 -2.379518
00:57.549 32 0.017987 0.601202 -2.378849
00:58.960 32 0.021323 0.609764 -2.376665
00:59.697 32 0.044173 0.816037 -2.271585
01:00.650 32 0.033805 0.834423 -2.265198
01:02.288 32 0.031564 0.837279 -2.265295
01:03.128 32 0.030420 0.839942 -2.264932
01:04.050 32 0.030585 0.841634 -2.263998
01:05.049 32 0.031616 0.842902 -2.262873
01:06.076 32 -0.066098 1.103151 -2.403478
01:07.171 32 -0.076635 1.123023 -2.420284
01:07.688 32 -0.078560 1.126609 -2.424274
01:09.288 32 -0.079638 1.127967 -2.425821
01:10.188 32 -0.080737 1.129232 -2.427114
01:10.961 32 -0.081570 1.130121 -2.427943
01:12.722 32 -1.133499 0.611128 -3.779979
01:13.497 32 -1.212713 0.583796 -3.757446
01:15.131 32 -1.243157 0.573995 -3.754303
01:16.038 32 -1.282452 0.562067 -3.751757
01:16.880 32 -1.283809 0.558735 -3.749779
01:17.903 32 -1.243519 0.563793 -3.747546
01:19.039 32 2.116614 1.094940 -3.491330
01:19.764 32 2.233983 1.126984 -3.505691
01:21.400 32 2.288956 1.142010 -3.511553
01:22.281 32 2.355155 1.159993 -3.517754
01:23.120 32 2.412021 1.175855 -3.522088
01:24.175 32 2.470397 1.192155 -3.525538
01:25.066 32 1.569842 0.945283 -3.472136
01:25.876 32 1.689794 0.987531 -3.477533
01:27.589 32 1.753725 1.010872 -3.480581
01:28.495 32 1.816955 1.035162 -3.482708
01:29.509 32 1.882280 1.059895 -3.482866
01:31.578 32 0.259501 0.807387 -3.407061
01:32.533 32 0.242774 0.933756 -3.344045
01:34.143 32 0.239654 0.948488 -3.330734
01:35.035 32 0.234830 0.967506 -3.310489
01:35.799 32 0.230758 0.981535 -3.293782
01:37.441 32 0.216783 1.072812 -2.293959
01:47.514 32 0.205163 1.058547 -2.277087
01:49.128 32 0.202421 1.055443 -2.272588
01:49.988 32 0.200386 1.053432 -2.269694
01:50.899 32 0.197996 1.051425 -2.266759
01:51.857 32 0.193908 1.044968 -2.261143
01:53.084 32 -0.157872 0.531347 -1.978450
01:53.760 32 -0.166176 0.529446 -1.983751
01:55.285 32 -0.172031 0.530932 -1.989987
01:56.486 32 -0.179493 0.535773 -1.999936
01:57.133 32 -0.187826 0.539998 -2.011733
01:58.355 32 -0.196586 0.543951 -2.025408
01:58.756 32 -0.380605 -0.096569 -3.913894
02:00.277 32 -0.407597 -0.155950 -3.912303
02:01.153 32 -0.433301 -0.209391 -3.915131
02:02.077 32 -0.463862 -0.279695 -3.920434
02:03.167 32 -0.493984 -0.350998 -3.924085
02:03.996 32 -0.528496 -0.432322 -3.921698
02:06.270 32 -0.221501 1.148799 -5.961586
02:06.935 32 -0.214915 1.188894 -5.913836
02:08.811 32 -0.212686 1.204392 -5.891057
02:09.727 32 -0.210301 1.221871 -5.861725
02:10.882 32 -0.205280 1.243007 -5.838227
02:11.728 32 -0.199957 1.267361 -5.808152
02:12.335 32 -0.428144 1.357116 -1.425137
02:13.313 32 -0.469634 1.376559 -1.305226
02:15.134 32 -0.472257 1.379066 -1.297488
02:15.995 32 -0.475536 1.382189 -1.286887
02:16.734 32 -0.477553 1.381303 -1.272703
02:17.880 32 -0.478962 1.380728 -1.262074
02:19.422 32 -0.376875 1.394056 -0.654139
02:20.161 32 -0.377784 1.394125 -0.652918
02:21.809 32 -0.378168 1.394164 -0.652265
02:22.696 32 -0.378934 1.394310 -0.651051
02:23.474 32 -0.379861 1.394531 -0.649582
02:25.034 32 -0.484792 1.357595 -0.515058
02:26.446 32 -0.486936 1.356044 -0.513921
02:27.430 32 -0.488399 1.355464 -0.513168
02:28.297 32 -0.489273 1.355820 -0.512298
02:29.301 32 -0.490173 1.356343 -0.511732
02:30.312 32 -0.491111 1.357033 -0.511672
02:31.388 32 -0.935873 -0.654602 -0.194384
02:32.353 32 -1.042230 -0.708558 -0.165849
02:34.019 32 -1.050988 -0.712903 -0.164797
02:34.902 32 -1.056707 -0.713368 -0.164181
02:35.748 32 -1.063994 -0.712111 -0.163363
02:36.712 32 -1.069812 -0.713115 -0.162429
02:38.203 32 -0.943847 -0.779355 -0.266435
02:38.822 32 -0.941675 -0.781329 -0.271083
02:40.363 32 -0.940550 -0.781978 -0.273324
02:41.251 32 -0.939229 -0.785419 -0.277833
02:42.022 32 -0.938317 -0.787631 -0.280753
02:43.152 32 -0.937323 -0.789813 -0.283961
02:43.594 32 -0.807215 -1.022834 -0.626742
02:44.437 32 -0.805871 -1.032628 -0.633243
02:46.090 32 -0.805395 -1.036520 -0.637323
02:46.913 32 -0.804997 -1.040058 -0.641531
02:47.815 32 -0.804945 -1.042975 -0.644798
02:48.893 32 -0.802831 -1.045512 -0.650776
02:50.410 32 -0.749445 -1.122933 -1.715168
02:51.424 32 -0.741000 -1.146982 -1.964061
02:53.184 32 -0.741121 -1.150471 -1.984720
02:54.146 32 -0.741613 -1.155951 -2.012606
02:54.940 32 -0.742368 -1.159785 -2.033278
02:56.885 32 -2.222078 -1.281914 -5.333363
02:57.600 32 -2.289679 -1.288033 -5.433245
02:59.363 32 -2.298652 -1.290859 -5.453509
03:00.047 32 -2.307603 -1.295043 -5.480653
03:00.881 32 -2.314189 -1.298865 -5.507586
03:03.390 32 -4.315782 2.204178 -7.145059
03:04.667 32 -4.317598 2.216112 -7.139967
03:05.324 32 -4.317261 2.223384 -7.137529
03:06.548 32 -4.311052 2.225220 -7.133005
03:07.683 32 -4.297697 2.219542 -7.126631
03:08.524 32 -0.782649 -1.280308 -6.010968
03:09.186 32 -0.774258 -1.322705 -5.939331
03:10.753 32 -0.760441 -1.356872 -5.877069
03:11.670 32 -0.745037 -1.375196 -5.811330
03:12.839 32 -0.734586 -1.390390 -5.737614
03:14.035 32 -0.721139 -1.391371 -5.666514
03:15.397 32 -2.265089 -1.321044 -2.645212
03:16.355 32 -2.283486 -1.278874 -2.662590
03:18.227 32 -2.285371 -1.271028 -2.664705
03:19.056 32 -2.287674 -1.261843 -2.667054
03:19.946 32 -2.289174 -1.255698 -2.668601
03:21.446 32 -2.577592 -0.918094 -2.920646
03:23.032 32 -2.629347 -0.873634 -2.956940
03:24.673 32 -2.632642 -0.871484 -2.959733
03:25.492 32 -2.636510 -0.868927 -2.962787
03:26.514 32 -2.639859 -0.866685 -2.965332
03:27.614 32 -3.113727 -0.549454 -3.392162
03:28.435 32 -3.118587 -0.547818 -3.400788
03:30.144 32 -3.125923 -0.544204 -3.411062
03:31.034 32 -3.131377 -0.541629 -3.417776
03:31.877 32 -3.137914 -0.537903 -3.428803
03:33.073 32 -3.142228 -0.535462 -3.435415
03:34.397 32 -3.363896 -0.446431 -4.266620
03:35.366 32 -3.372135 -0.456391 -4.320477
03:37.101 32 -3.374070 -0.457276 -4.327218
03:38.006 32 -3.375324 -0.457910 -4.331681
03:38.907 32 -3.376747 -0.458718 -4.336649
03:39.954 32 -3.377647 -0.459300 -4.340074
03:41.321 32 -3.414690 -0.524268 -4.948337
03:42.841 32 -3.414216 -0.524370 -4.954482
03:43.489 32 -3.413700 -0.524346 -4.959771
03:44.456 32 -3.413182 -0.524279 -4.963830
03:45.723 32 -3.412674 -0.524160 -4.967004
03:46.394 32 -3.412669 -0.524626 -4.972006
03:47.390 32 -3.182034 -0.447632 -5.897580
03:48.893 32 -3.122795 -0.423224 -5.934469
03:49.906 32 -3.054472 -0.403905 -5.967895
03:51.064 32 -2.978278 -0.383398 -6.005838
03:51.841 32 -2.917155 -0.364532 -6.036695
03:52.832 32 -2.832755 -0.344954 -6.067119
03:53.547 32 -1.465117 -0.200102 -6.094598
03:54.484 32 -1.462527 -0.194751 -6.118120
03:55.706 32 -1.459764 -0.193601 -6.145640
03:56.560 32 -1.458679 -0.190173 -6.162833
03:58.364 32 -1.458624 -0.189635 -6.164506
04:00.045 32 -1.407894 -0.447112 -6.209524
04:01.200 32 -1.418725 -0.468223 -6.196408
04:02.671 32 -1.420395 -0.470515 -6.195059
04:03.718 32 -1.421927 -0.472833 -6.193609
04:04.536 32 -1.423695 -0.475133 -6.192233
04:05.963 32 -1.261177 1.471432 -7.635303
04:06.884 32 -1.262712 1.478997 -7.662464
04:08.505 32 -1.263068 1.480474 -7.672953
04:09.500 32 -1.263371 1.483395 -7.685651
04:10.409 32 -1.263652 1.486276 -7.697157
04:11.483 32 -1.263956 1.487850 -7.708798
04:12.435 32 -1.212325 1.059408 -9.788815
04:13.398 32 -1.153367 1.105807 -10.082311
04:15.243 32 -1.139548 1.111931 -10.104556
04:16.064 32 -1.117946 1.120457 -10.133848
04:16.880 32 -1.102575 1.125624 -10.156378
04:17.928 32 -1.081081 1.132277 -10.186520
04:19.155 32 2.818271 2.058527 -13.644048
04:19.741 32 2.896235 2.047050 -13.660672
04:21.417 32 2.944979 2.039987 -13.671386
04:22.139 32 2.994759 2.034829 -13.682057
04:22.970 32 3.064266 2.034233 -13.695249
04:24.053 32 3.116801 2.033898 -13.705709
04:25.258 32 -1.712961 1.796692 -13.919606
04:26.217 32 -1.696450 1.847764 -13.908175
04:28.204 32 -1.688494 1.869104 -13.903089
04:29.016 32 -1.674158 1.894884 -13.901576
04:29.989 32 -1.660807 1.919960 -13.898973
04:31.136 32 -1.493196 2.150948 -10.030988
04:31.998 32 -1.493586 2.146053 -9.972607
04:33.367 32 -1.492861 2.142418 -9.939313
04:34.390 32 -1.489785 2.136855 -9.892289
04:35.349 32 -1.486373 2.131362 -9.844810
04:36.304 32 -1.483261 2.126493 -9.803679
04:37.823 32 -1.334151 1.938794 -8.506679
04:38.973 32 -1.328822 1.943272 -8.486981
04:40.782 32 -1.329063 1.944697 -8.486959
04:41.677 32 -1.327745 1.944293 -8.487288
04:42.471 32 -1.326416 1.944404 -8.488583
04:44.532 32 -1.236771 2.432103 -8.646564
04:45.459 32 -1.229351 2.461804 -8.671104
04:47.165 32 -1.228277 2.465312 -8.677863
04:48.145 32 -1.227651 2.466452 -8.684847
04:48.986 32 -1.227011 2.468097 -8.691028
04:50.127 32 -1.226491 2.469723 -8.695601
04:50.563 32 -1.205497 2.107229 -8.348565
04:51.590 32 -1.200974 2.096267 -8.332365
04:53.318 32 -1.200230 2.094529 -8.328988
04:54.268 32 -1.199606 2.093234 -8.326776
04:55.113 32 -1.198983 2.092067 -8.325112
04:56.172 32 -1.198196 2.090498 -8.320300
04:57.386 32 -0.987347 1.671994 -8.021965
04:58.847 32 -0.988155 1.663028 -8.018250
04:59.815 32 -0.990081 1.650843 -8.014157
05:00.986 32 -0.992361 1.637460 -8.009719
05:01.700 32 -0.994723 1.623648 -8.003189
05:02.739 32 -0.996732 1.611596 -7.998546
05:03.825 32 -0.879317 1.541736 -7.419991
05:04.777 32 -0.866448 1.557803 -7.390595
05:06.434 32 -0.864074 1.562924 -7.387188
05:07.330 32 -0.861895 1.567725 -7.384420
05:08.169 32 -0.860389 1.571140 -7.382494
05:09.217 32 -0.858520 1.575471 -7.380386
05:10.017 32 -0.723340 1.459810 -6.932169
05:10.916 32 -0.716134 1.458134 -6.915064
05:12.462 32 -0.712871 1.457012 -6.906460
05:13.470 32 -0.710676 1.456251 -6.900992
05:14.278 32 -0.705987 1.455175 -6.891856
05:15.292 32 -0.701537 1.454250 -6.884113
05:16.805 32 -0.345073 1.444271 -6.289810
05:17.724 32 -0.326777 1.449591 -6.251123
05:19.392 32 -0.323329 1.450366 -6.246052
05:20.323 32 -0.321008 1.450894 -6.243029
05:21.190 32 -0.318876 1.451375 -6.240364
05:22.230 32 -0.316300 1.451961 -6.237741
05:23.489 32 -0.059762 1.433673 -5.701830
05:24.090 32 -0.057049 1.434784 -5.694507
05:25.481 32 -0.055955 1.435187 -5.691531
05:26.416 32 -0.054176 1.435788 -5.686681
05:27.256 32 -0.053077 1.436105 -5.683888
05:28.267 32 -0.051239 1.436756 -5.678339
05:29.317 32 0.188910 1.546371 -5.239678
05:30.909 32 0.190945 1.547755 -5.233638
05:31.751 32 0.194810 1.549851 -5.226007
05:33.039 32 0.198333 1.551799 -5.220513
05:33.972 32 0.202192 1.552277 -5.212456
05:34.884 32 0.204950 1.552269 -5.206907
05:35.781 32 0.219529 1.618288 -4.797573
05:36.674 32 0.218739 1.619198 -4.775511
05:38.319 32 0.218460 1.619776 -4.773044
05:39.267 32 0.218179 1.620281 -4.771027
05:40.048 32 0.217886 1.620721 -4.769510
05:41.064 32 0.217830 1.621312 -4.767392
05:42.446 32 0.169800 1.642410 -4.477910
05:43.774 32 0.169087 1.642634 -4.475249
05:44.709 32 0.168543 1.642801 -4.473665
05:45.686 32 0.167689 1.643234 -4.471621
05:46.518 32 0.166425 1.644121 -4.468708
05:47.659 32 0.165227 1.644907 -4.466516
05:48.051 32 0.264224 1.566128 -5.990293
05:48.771 32 0.269991 1.566553 -6.039437
05:50.475 32 0.275564 1.567104 -6.071504
05:51.344 32 0.282207 1.565932 -6.081204
05:52.525 32 0.288916 1.564740 -6.068649
05:53.516 32 0.295973 1.561727 -6.044559
05:54.754 32 -3.628770 -0.983383 -7.244465
05:55.650 32 -3.512169 -1.736945 -7.220429
05:57.356 32 -3.503877 -1.814252 -7.220066
05:58.252 32 -3.494782 -1.895844 -7.218462
05:59.018 32 -3.488309 -1.957060 -7.217566
06:00.111 32 -3.480535 -2.038881 -7.216602
06:01.252 32 -2.806731 -15.041956 -7.250226
06:01.917 32 -2.767519 -15.102873 -7.254971
06:03.758 32 -2.750390 -15.132948 -7.257862
06:04.468 32 -2.727561 -15.171697 -7.263900
06:05.380 32 -2.707417 -15.207496 -7.269280
06:06.648 32 -2.682317 -15.254519 -7.275010
06:07.518 32 -3.258474 -17.468874 -6.980303
06:09.124 32 -3.262338 -17.480417 -6.967683
06:09.987 32 -3.266894 -17.492188 -6.951438
06:11.270 32 -3.268620 -17.501772 -6.933793
06:12.241 32 -3.267496 -17.511227 -6.907297
06:12.997 32 -3.266899 -17.514849 -6.873128
06:13.911 32 -3.220277 -17.313005 -3.922235
06:14.815 32 -3.216031 -17.302866 -3.875634
06:16.531 32 -3.216569 -17.304794 -3.870512
06:17.344 32 -3.217526 -17.308191 -3.864367
06:18.277 32 -3.217736 -17.310732 -3.860004
06:19.379 32 -3.217481 -17.313038 -3.856277
06:20.393 32 -3.229442 -17.626560 -3.878705
06:21.911 32 -3.229793 -17.638899 -3.876425
06:22.725 32 -3.227834 -17.649405 -3.872567
06:23.967 32 -3.226266 -17.657089 -3.869127
06:24.752 32 -3.224269 -17.665670 -3.864321
06:25.679 32 -3.222643 -17.672874 -3.860204
06:26.930 32 -2.934131 -17.768108 -3.771269
06:27.935 32 -2.909847 -17.775724 -3.776161
06:29.736 32 -2.907857 -17.776691 -3.776686
06:30.707 32 -2.904634 -17.778641 -3.777244
06:31.515 32 -2.902533 -17.779852 -3.777918
06:33.024 32 -2.968071 -17.653627 -5.535734
06:33.801 32 -2.968714 -17.658527 -5.572713
06:35.188 32 -2.969194 -17.662052 -5.587798
06:36.180 32 -2.970613 -17.669134 -5.608680
06:37.018 32 -2.973644 -17.678062 -5.628383
06:38.148 32 -2.979578 -17.686155 -5.643147
06:39.066 32 -4.036310 -15.720620 -6.597496
06:40.106 32 -4.050842 -15.613279 -6.624122
06:41.422 32 -4.060702 -15.544256 -6.642297
06:42.612 32 -4.070162 -15.470122 -6.664804
06:43.599 32 -4.078376 -15.397316 -6.686052
06:44.614 32 -4.085800 -15.316341 -6.709798
06:45.797 32 -4.110564 -14.552988 -8.742773
06:46.745 32 -4.068699 -14.500227 -9.006043
06:48.521 32 -4.066120 -14.501630 -9.030760
06:49.430 32 -4.063797 -14.503237 -9.055866
06:50.271 32 -4.062111 -14.504479 -9.074921
06:51.456 32 -4.060251 -14.506595 -9.100123
06:52.295 32 -2.964881 -11.915027 -11.418174
06:53.505 32 -2.845668 -11.448714 -11.443581
06:54.875 32 -2.795404 -11.244005 -11.454439
06:55.837 32 -2.734427 -10.991231 -11.468677
06:57.028 32 -2.693138 -10.819013 -11.478382
06:58.731 32 0.186943 0.782190 -9.753142
06:59.221 32 0.192058 0.788664 -9.761968
07:00.879 32 0.194844 0.793126 -9.765433
07:01.695 32 0.197926 0.798588 -9.768039
07:02.571 32 0.201376 0.804947 -9.770097
07:03.965 32 0.204883 0.810414 -9.772423
07:04.750 32 0.299862 1.179550 -9.982430
07:05.688 32 0.294694 1.185872 -9.987701
07:07.456 32 0.294668 1.186754 -9.988042
07:08.417 32 0.295086 1.187911 -9.988637
07:09.244 32 0.295104 1.188675 -9.989074
07:11.269 32 0.195075 1.228309 -10.005289
07:12.043 32 0.192505 1.232658 -10.016039
07:13.871 32 0.191391 1.233736 -10.019862
07:14.770 32 0.190026 1.234548 -10.023530
07:15.587 32 0.187910 1.235645 -10.025573
07:17.362 32 0.206148 1.138643 -10.015275
07:18.028 32 0.161266 1.076303 -10.005387
07:19.779 32 0.144542 1.049229 -10.001665
07:20.688 32 0.122602 1.021842 -9.998393
07:21.902 32 0.099735 0.995373 -9.996119
07:22.851 32 0.078709 0.970569 -9.995030
07:23.305 32 0.931866 0.732472 -9.817245
07:24.493 32 0.928904 0.744553 -9.755818
07:25.528 32 0.917252 0.762324 -9.688424
07:26.673 32 0.899034 0.779573 -9.624413
07:27.524 32 0.871286 0.803802 -9.559094
07:28.486 32 0.835168 0.834974 -9.495895
07:29.852 32 0.621167 1.027049 -5.320515
07:30.700 32 0.692670 1.090058 -5.059361
07:32.589 32 0.698732 1.094344 -5.034614
07:33.449 32 0.702802 1.097509 -5.016194
07:34.337 32 0.708380 1.101643 -4.992146
07:36.798 32 0.857227 1.341294 -1.407107
07:37.354 32 0.860008 1.347925 -1.385655
07:39.121 32 0.861574 1.352419 -1.372350
07:39.926 32 0.864159 1.360143 -1.355992
07:40.771 32 0.867330 1.369187 -1.340790
07:42.885 32 0.899699 2.028727 -0.928090
07:45.353 32 0.922359 1.787786 -0.911625
07:47.225 32 0.927490 1.730811 -0.907835
07:48.557 32 0.929739 1.658333 -0.900766
07:49.226 32 0.930681 1.606389 -0.895807
07:50.725 32 0.767040 1.209178 -0.562294
07:51.638 32 0.766856 1.183710 -0.512281
07:53.338 32 0.766736 1.183900 -0.508549
07:54.251 32 0.767303 1.185639 -0.505795
07:55.035 32 0.769712 1.191953 -0.501687
07:56.109 32 0.771286 1.196233 -0.498895
07:57.254 32 0.893083 1.262359 -0.420442
07:58.768 32 0.892807 1.256388 -0.420057
07:59.429 32 0.891761 1.250641 -0.418815
08:00.404 32 0.889717 1.243733 -0.416246
08:01.537 32 0.887288 1.236050 -0.413880
08:02.247 32 0.885252 1.230060 -0.412814
08:03.131 32 1.019160 1.750906 -0.580478
08:04.329 32 1.016565 1.802778 -0.622156
08:05.001 32 1.015960 1.805816 -0.623843
08:06.334 32 1.015568 1.807640 -0.624623
08:07.258 32 1.014979 1.810214 -0.625466
08:08.164 32 1.014387 1.812553 -0.626278
08:09.130 32 0.853897 1.810040 -0.523032
08:09.957 32 0.846071 1.801105 -0.513382
08:11.593 32 0.842766 1.800247 -0.508860
08:12.528 32 0.839773 1.800042 -0.505548
08:13.380 32 0.836717 1.797600 -0.502335
08:14.394 32 0.833365 1.793975 -0.499346
08:15.320 32 0.830080 1.791083 -0.497331
08:16.554 32 0.675874 2.542769 -0.823879
08:18.161 32 0.669279 2.569572 -0.834018
08:19.130 32 0.662769 2.596486 -0.844562
08:20.071 32 0.657194 2.625841 -0.855603
08:21.184 32 0.650256 2.655472 -0.864711
08:22.170 32 0.651741 2.565209 -0.874393
08:22.960 32 0.930532 2.319562 -3.029178
08:23.869 32 0.899737 2.224592 -3.108043
08:25.548 32 0.894821 2.211849 -3.118373
08:26.462 32 0.891204 2.201932 -3.125424
08:27.290 32 0.886420 2.188379 -3.133454
08:28.352 32 0.882847 2.178010 -3.139009
08:29.919 32 -1.487685 -7.393939 -3.814584
08:31.522 32 -1.473144 -7.387233 -3.818296
08:32.397 32 -1.458436 -7.380173 -3.822458
08:33.179 32 -1.448007 -7.375133 -3.825191
08:34.487 32 -1.436769 -7.369807 -3.828280
08:35.960 32 -1.171004 -6.323326 -11.314926
08:36.929 32 -0.717689 -4.998530 -11.388527
08:38.711 32 -0.678317 -4.875703 -11.395919
08:39.596 32 -0.649026 -4.781862 -11.401857
08:40.418 32 -0.610447 -4.654573 -11.410070
08:42.470 32 1.514487 2.150817 -9.965764
08:43.315 32 1.608405 2.252992 -9.914020
08:45.173 32 1.631367 2.275855 -9.899073
08:46.069 32 1.653307 2.297363 -9.883392
08:46.912 32 1.674383 2.317526 -9.866329
08:48.516 32 1.517793 3.443218 -6.097869
08:49.490 32 1.527600 3.430510 -6.045881
08:50.840 32 1.533209 3.422226 -6.015744
08:51.628 32 1.540253 3.412514 -5.978190
08:52.901 32 1.547574 3.403409 -5.940939
