timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
00:00.156 30 -0.68 0.13 115.99
00:00.326 30 -0.68 0.12 115.99
00:00.408 30 -0.68 0.12 115.99
00:00.575 30 -0.68 0.12 115.99
00:00.667 30 -0.68 0.12 115.99
00:00.800 30 -0.68 0.12 115.99
00:00.927 30 -0.68 0.12 115.99
00:01.049 30 -0.68 0.12 116.00
00:01.141 30 -0.68 0.13 116.00
00:01.338 30 -0.68 0.13 116.00
00:01.684 30 -0.68 0.13 116.00
00:01.803 30 -0.68 0.13 116.00
00:01.892 30 -0.68 0.13 116.00
00:02.054 30 -0.68 0.13 116.00
00:02.141 30 -0.67 0.13 116.00
00:02.262 30 -0.67 0.13 116.00
00:02.387 30 -0.67 0.13 116.00
00:02.510 30 -0.67 0.13 116.00
00:02.598 30 -0.68 0.13 116.00
00:02.781 30 -0.67 0.13 116.00
00:03.116 30 -0.67 0.13 116.00
00:03.294 30 -0.67 0.13 116.00
00:03.377 30 -0.68 0.13 116.00
00:03.541 30 -0.68 0.13 116.00
00:03.656 30 -0.67 0.13 116.01
00:03.777 30 -0.67 0.13 116.01
00:03.901 30 -0.67 0.13 116.01
00:04.017 30 -0.67 0.13 116.01
00:04.107 30 -0.68 0.13 116.01
00:04.294 30 -0.68 0.13 116.00
00:04.573 30 -0.67 0.13 116.01
00:04.692 30 -0.67 0.13 116.01
00:04.777 30 -0.68 0.13 116.01
00:04.943 30 -0.68 0.13 116.01
00:05.033 30 -0.68 0.13 116.01
00:05.157 30 -0.67 0.13 116.01
00:05.284 30 -0.68 0.13 116.01
00:05.405 30 -0.67 0.13 116.01
00:05.493 30 -0.68 0.13 116.00
00:05.680 30 -0.67 0.13 116.01
00:06.012 30 -0.68 0.13 116.00
00:06.175 30 -0.68 0.13 116.01
00:06.265 30 -0.67 0.13 116.01
00:06.432 30 -0.68 0.13 116.01
00:06.544 30 -0.68 0.13 116.01
00:06.673 30 -0.68 0.13 116.01
00:06.810 30 -0.68 0.13 116.01
00:06.938 30 -0.68 0.13 116.00
00:07.030 30 -0.68 0.13 116.00
00:07.232 30 -0.68 0.13 116.00
00:07.533 30 -0.68 0.13 116.00
00:07.656 30 -0.68 0.13 116.00
00:07.747 30 -0.68 0.13 116.00
00:07.917 30 -0.68 0.13 116.00
00:08.012 30 -0.68 0.13 116.00
00:08.134 30 -0.68 0.13 116.00
00:08.269 30 -0.68 0.13 116.00
00:08.387 30 -0.68 0.13 116.00
00:08.475 30 -0.68 0.13 116.00
