timestamp msgid x y z
MM:SS.xxx ID m m m
00:00.096 32 0.050172 0.045813 0.126327
00:00.707 32 0.050040 0.046251 0.125882
00:01.222 32 0.049977 0.046405 0.125624
00:01.664 32 0.049913 0.046737 0.125362
00:02.249 32 0.049630 0.047492 0.125261
00:02.751 32 0.049509 0.048001 0.125111
00:03.133 32 0.049325 0.048526 0.124861
00:03.769 32 0.049028 0.049289 0.124457
00:04.296 32 0.048767 0.049791 0.124108
00:04.770 32 0.048552 0.050411 0.123535
00:05.327 32 0.048355 0.050982 0.122863
00:05.802 32 0.048146 0.051545 0.122116
00:06.221 32 0.047824 0.052126 0.121698
00:06.865 32 0.047414 0.053024 0.121239
00:07.385 32 0.047045 0.053712 0.120485
00:07.837 32 0.046805 0.054146 0.119916
00:08.424 32 0.046332 0.055005 0.119190
00:08.908 32 0.045801 0.055963 0.118413
00:09.322 32 0.045303 0.056666 0.117803
00:09.970 32 0.044710 0.057556 0.116806
00:10.491 32 0.044198 0.058309 0.115770
00:10.961 32 0.043666 0.059153 0.114705
00:12.006 32 0.034589 -1.106180 -0.295796
00:13.043 32 0.030736 -1.130335 -0.319597
00:14.583 32 0.031083 -1.132553 -0.321631
00:15.459 32 0.031404 -1.134459 -0.323491
00:16.244 32 0.031693 -1.136088 -0.325176
00:17.284 32 0.031895 -1.137141 -0.326394
00:18.298 32 0.032149 -1.138338 -0.327934
00:19.066 32 0.032744 -1.139879 -0.329847
00:20.160 32 0.033633 -1.141713 -0.331939
00:23.528 32 0.058198 -1.356838 -0.426888
00:25.086 32 0.058069 -1.360332 -0.428007
00:25.815 32 0.057946 -1.362872 -0.428998
00:26.912 32 0.057768 -1.365555 -0.430349
00:27.780 32 0.057612 -1.367514 -0.431476
00:28.675 32 0.055608 -1.371141 -0.432581
00:29.545 32 0.129043 -1.522553 -0.546003
00:30.312 32 0.137944 -1.525981 -0.543875
00:31.802 32 0.143319 -1.524346 -0.539949
00:32.767 32 0.149693 -1.526030 -0.537236
00:33.621 32 0.155031 -1.528370 -0.531631
00:35.043 32 0.155913 -1.529202 -0.530816
00:35.686 32 0.330020 -1.543139 -0.349736
00:36.656 32 0.347021 -1.547657 -0.326747
00:38.315 32 0.348293 -1.548390 -0.324210
00:39.202 32 0.349434 -1.549036 -0.322126
00:40.132 32 0.350466 -1.549602 -0.320442
00:41.014 32 0.351398 -1.550089 -0.318958
00:41.735 32 0.622055 -1.559789 0.040001
00:42.911 32 0.675578 -1.597869 0.065603
00:43.743 32 0.693689 -1.632873 0.059143
00:45.518 32 0.698428 -1.641256 0.056136
00:46.482 32 0.703707 -1.651035 0.051159
00:47.298 32 0.707206 -1.658293 0.046112
00:49.038 32 0.689947 -2.389234 -2.259475
00:49.485 32 0.665463 -2.436717 -2.260118
00:51.173 32 0.641700 -2.477964 -2.262268
00:52.188 32 0.616130 -2.518237 -2.265547
00:52.826 32 0.583125 -2.566839 -2.269876
00:53.988 32 0.556734 -2.607660 -2.271880
00:54.944 32 0.522303 -2.656129 -2.275228
00:55.666 32 0.491900 -2.695848 -2.278498
00:59.143 32 -0.968131 -8.256137 -6.860031
01:00.337 32 -0.768639 -7.577481 -6.988294
01:02.101 32 -0.742792 -7.483348 -6.998948
01:03.918 32 -0.720503 -7.400562 -7.007413
01:04.772 32 -0.698480 -7.318344 -7.015452
01:06.598 32 1.138959 -1.356482 -5.880685
01:07.333 32 1.153954 -1.248718 -5.722949
01:09.382 32 1.160165 -1.234404 -5.687610
01:10.224 32 1.168975 -1.222404 -5.645136
01:11.094 32 1.177221 -1.206268 -5.602881
01:12.481 32 1.016184 -2.379269 -1.654958
01:13.596 32 1.015033 -2.381395 -1.582614
01:14.848 32 1.008190 -2.382029 -1.510188
01:15.844 32 0.997600 -2.385103 -1.433423
01:16.561 32 0.990803 -2.394600 -1.363989
01:17.973 32 0.977961 -2.407489 -1.294209
01:19.353 32 0.448449 -2.868443 0.936685
01:21.061 32 0.449433 -2.881308 0.931606
01:22.113 32 0.449183 -2.894958 0.926558
01:23.060 32 0.450057 -2.907050 0.921573
01:24.115 32 0.451832 -2.919974 0.916281
01:25.690 32 0.298187 -3.365905 0.738886
01:26.626 32 0.276757 -3.378356 0.724812
01:28.296 32 0.274494 -3.379143 0.723775
01:29.269 32 0.272688 -3.380056 0.722607
01:30.175 32 0.271288 -3.381084 0.721305
01:31.195 32 0.268108 -3.382131 0.721107
01:31.764 32 -0.044414 -3.433068 0.554093
01:32.511 32 -0.049759 -3.434559 0.551568
01:34.153 32 -0.053333 -3.435254 0.548817
01:35.115 32 -0.056774 -3.436265 0.548219
01:36.010 32 -0.060004 -3.436853 0.547363
01:36.979 32 -0.063270 -3.436453 0.543703
01:38.412 32 -0.190072 -3.463178 0.793883
01:39.412 32 -0.193217 -3.463405 0.803083
01:41.136 32 -0.192942 -3.463370 0.803538
01:42.070 32 -0.192809 -3.463205 0.803700
01:42.847 32 -0.192668 -3.463686 0.804243
01:43.918 32 -0.192512 -3.464733 0.805112
01:45.109 32 -0.303146 -3.397170 0.844972
01:45.862 32 -0.308121 -3.397868 0.845665
01:47.500 32 -0.310137 -3.397779 0.845638
01:48.442 32 -0.313223 -3.397832 0.846019
01:49.225 32 -0.316056 -3.397836 0.846308
01:50.244 32 -0.319200 -3.397603 0.846233
01:50.809 32 -0.576542 -3.363386 0.295859
01:52.279 32 -0.558574 -3.340484 0.227027
01:53.175 32 -0.541021 -3.321160 0.193352
01:54.004 32 -0.522290 -3.319367 0.178706
01:55.196 32 -0.503426 -3.320916 0.170847
01:56.154 32 -0.477884 -3.297293 0.170154
01:56.962 32 -0.455633 -3.260295 0.169551
01:57.827 32 -0.303017 -3.742388 1.087841
01:58.792 32 -0.310174 -3.748107 1.125442
02:00.399 32 -0.309852 -3.748178 1.128300
02:01.213 32 -0.310213 -3.747231 1.131061
02:02.050 32 -0.311251 -3.744864 1.135728
02:03.113 32 -0.311550 -3.743473 1.139072
02:03.771 32 -0.102462 -3.790420 1.099632
02:04.749 32 -0.094093 -3.795569 1.096211
02:06.299 32 -0.090303 -3.797568 1.095045
02:07.029 32 -0.086976 -3.798483 1.093932
02:08.094 32 -0.083872 -3.799399 1.092760
02:09.094 32 -0.080728 -3.800418 1.091387
02:10.538 32 0.238011 -4.134826 -0.056311
02:11.687 32 0.242432 -4.158570 -0.321039
02:13.290 32 0.242004 -4.159163 -0.340904
02:14.318 32 0.244704 -4.160934 -0.368424
02:15.206 32 0.246366 -4.162302 -0.395173
02:17.052 32 1.020868 -4.468041 -1.786074
02:17.771 32 1.029420 -4.470368 -1.803702
02:19.448 32 1.033692 -4.469402 -1.812120
02:20.317 32 1.038623 -4.467289 -1.820060
02:21.059 32 1.043713 -4.464718 -1.830375
02:22.645 32 1.166971 -12.618302 -3.038711
02:23.519 32 1.105799 -12.682829 -3.055805
02:24.935 32 1.065580 -12.722649 -3.069242
02:26.063 32 1.025160 -12.759356 -3.084208
02:27.031 32 0.980830 -12.796485 -3.101192
02:27.880 32 0.948700 -12.830893 -3.114737
02:29.040 32 0.919884 -12.864038 -3.125109
02:30.166 32 -2.621388 -15.652141 -5.442550
02:32.009 32 -2.595542 -15.630300 -5.501328
02:33.090 32 -2.570866 -15.606941 -5.565058
02:33.876 32 -2.547855 -15.586239 -5.620986
02:34.999 32 -2.521635 -15.563320 -5.683291
02:35.746 32 -0.072653 -3.957700 -7.152398
02:37.540 32 -0.100231 -3.918021 -7.144462
02:38.443 32 -0.123080 -3.882446 -7.139844
02:39.121 32 -0.144180 -3.858673 -7.134200
02:40.402 32 -0.167310 -3.844875 -7.126529
02:41.304 32 -0.185386 -3.843291 -7.119988
02:42.735 32 1.451523 -8.107877 -2.825862
02:43.709 32 0.791078 -8.599059 -2.478622
02:45.466 32 0.745903 -8.642261 -2.446302
02:46.348 32 0.705322 -8.683382 -2.415660
02:47.106 32 0.668812 -8.722622 -2.386571
02:48.284 32 0.635869 -8.760245 -2.359024
02:49.163 32 0.606006 -8.796546 -2.332865
02:50.269 32 0.577547 -8.830729 -2.308711
02:51.479 32 -0.469603 -4.992432 -3.749067
02:52.493 32 -0.362283 -5.278600 -3.610826
02:54.311 32 -0.348824 -5.300243 -3.594467
02:55.153 32 -0.333403 -5.319693 -3.576436
02:56.004 32 -0.311590 -5.341369 -3.551504
02:57.278 32 -0.291415 -5.356977 -3.528876
02:58.231 32 0.756770 -2.942811 -0.156716
02:58.727 32 0.779673 -2.953028 -0.106780
03:00.514 32 0.791748 -2.957734 -0.079112
03:01.312 32 0.807468 -2.963271 -0.040669
03:02.187 32 0.821968 -2.965762 -0.007946
03:03.520 32 0.842017 -2.964415 0.029817
03:04.567 32 0.792990 -2.908243 3.641788
03:06.086 32 0.802203 -2.910322 3.664665
03:06.994 32 0.810516 -2.911916 3.684325
03:08.153 32 0.815057 -2.911473 3.707376
03:09.071 32 0.818842 -2.910593 3.725473
03:10.060 32 0.822168 -2.909149 3.742446
03:11.155 32 0.855580 -2.764480 4.421506
03:12.183 32 0.859913 -2.758755 4.431026
03:13.931 32 0.859792 -2.757757 4.431602
03:14.834 32 0.859865 -2.757078 4.431819
03:15.804 32 0.860128 -2.756686 4.431820
03:17.303 32 0.857611 -2.522805 4.736133
03:18.843 32 0.858573 -2.520626 4.740202
03:19.845 32 0.860399 -2.518802 4.744657
03:20.688 32 0.863075 -2.517469 4.749531
03:21.646 32 0.865490 -2.516736 4.752655
03:22.579 32 0.867188 -2.515116 4.756326
03:23.484 32 0.950199 -2.315460 5.027994
03:24.396 32 0.956826 -2.310054 5.039069
03:26.024 32 0.957270 -2.309638 5.039359
03:27.022 32 0.957833 -2.309185 5.039220
03:27.820 32 0.958402 -2.308778 5.039325
03:28.883 32 0.959033 -2.308292 5.040370
03:30.164 32 0.877672 -2.255334 5.114450
03:30.771 32 0.876842 -2.253242 5.114585
03:32.367 32 0.876525 -2.252110 5.114541
03:33.281 32 0.876229 -2.250898 5.114160
03:34.115 32 0.876022 -2.249645 5.113760
03:35.120 32 0.875969 -2.248791 5.113391
03:36.007 32 0.656653 -3.673264 4.466754
03:37.549 32 0.600471 -3.722085 4.415558
03:38.280 32 0.551621 -3.789128 4.384081
03:39.205 32 0.508625 -3.854032 4.378325
03:40.438 32 0.467955 -3.909542 4.393501
03:41.194 32 0.419699 -3.954125 4.427186
03:42.094 32 0.361885 -4.000224 4.491054
03:43.056 32 -0.022852 -4.218989 4.414834
03:44.060 32 -0.019550 -4.236387 4.398088
03:45.112 32 -0.010860 -4.259908 4.375401
03:46.216 32 -0.002379 -4.283544 4.354255
03:46.910 32 -0.001106 -4.287511 4.350541
03:48.519 32 -0.000590 -4.289432 4.348746
03:49.821 32 0.092599 -4.546975 3.391033
03:50.571 32 0.087783 -4.552233 3.230323
03:52.411 32 0.088599 -4.553162 3.189755
03:53.400 32 0.087123 -4.555964 3.147593
03:54.111 32 0.086223 -4.557786 3.112893
03:56.055 32 -1.521172 -8.385711 0.691100
03:56.752 32 -1.644363 -8.682061 0.589238
03:58.452 32 -1.703205 -8.822967 0.546408
03:59.724 32 -1.751642 -8.933845 0.507114
04:00.545 32 -1.809673 -9.066439 0.463095
04:01.445 32 -1.867522 -9.197598 0.421749
04:02.018 32 -0.313537 -4.946862 -1.763197
04:02.765 32 -0.221570 -4.780314 -1.756765
04:04.271 32 -0.189723 -4.725722 -1.752518
04:05.218 32 -0.127513 -4.628774 -1.750275
04:06.242 32 -0.065599 -4.539752 -1.746534
04:07.244 32 -0.015221 -4.473763 -1.743840
04:08.659 32 0.175076 -4.674463 1.323364
04:09.603 32 0.137665 -4.669091 1.544567
04:11.428 32 0.135807 -4.666805 1.560918
04:12.282 32 0.131808 -4.665355 1.580884
04:13.160 32 0.127513 -4.663959 1.601268
04:14.325 32 0.123554 -4.662337 1.622103
04:15.375 32 0.447750 -4.197600 2.965490
04:16.304 32 0.429890 -4.204045 2.976326
04:18.043 32 0.432707 -4.201709 2.979534
04:18.945 32 0.438904 -4.196933 2.982003
04:19.821 32 0.444582 -4.193191 2.984890
04:21.459 32 0.417424 -4.061294 2.859569
04:22.408 32 0.411545 -4.066159 2.859200
04:23.887 32 0.408092 -4.066990 2.859963
04:25.031 32 0.405569 -4.067347 2.860469
04:25.982 32 0.403095 -4.067630 2.860653
04:26.835 32 0.400875 -4.068233 2.861153
04:27.782 32 0.331902 -4.345981 2.729230
04:28.816 32 0.382689 -4.401676 2.773885
04:30.554 32 0.384103 -4.407847 2.772485
04:31.460 32 0.386154 -4.412627 2.769573
04:32.267 32 0.387812 -4.416237 2.766602
04:33.402 32 0.388448 -4.420257 2.764519
04:34.472 32 0.471935 -4.756865 2.331503
04:36.107 32 0.470653 -4.757795 2.330722
04:36.991 32 0.469583 -4.758996 2.329899
04:37.778 32 0.470038 -4.761455 2.327249
04:38.951 32 0.470816 -4.764150 2.324247
04:39.832 32 0.468504 -4.765432 2.325103
04:40.362 32 0.315781 -4.826757 2.337058
04:41.636 32 0.309641 -4.825233 2.341349
04:42.516 32 0.304666 -4.825302 2.342836
04:43.770 32 0.300854 -4.826829 2.344485
04:44.538 32 0.296777 -4.828262 2.348505
