timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
00:38.037 30 -2.43 -0.11 178.16
00:38.080 30 -2.38 -0.15 178.14
00:38.305 30 -2.36 -0.22 178.16
00:38.510 30 -2.38 -0.24 178.16
00:39.241 30 -2.30 -0.26 178.18
00:39.427 30 -2.43 -0.33 178.12
00:39.565 30 -2.38 -0.32 178.13
00:40.365 30 -0.44 -2.88 178.17
00:40.499 30 -0.47 -2.95 178.45
00:41.217 30 -0.87 -2.46 178.51
00:41.421 30 -0.77 -2.49 178.57
00:42.851 30 -0.84 -2.49 178.61
00:42.980 30 -1.09 -2.47 178.55
00:43.456 30 -0.82 -2.40 178.52
00:43.586 30 -0.79 -2.44 178.50
00:43.748 30 -0.71 -2.45 178.60
00:43.981 30 -0.86 -2.44 178.66
00:44.407 30 -0.84 -2.46 178.59
00:44.538 30 -0.87 -2.41 178.65
00:44.681 30 -0.83 -2.43 178.70
00:45.205 30 -0.82 -2.41 178.66
00:45.799 30 -0.84 -2.42 178.65
00:45.930 30 -0.85 -2.45 178.66
00:46.574 30 -1.25 -2.99 175.89
00:47.312 30 -1.19 -2.32 176.02
00:47.516 30 -1.25 -2.19 176.09
00:48.860 30 -1.24 -2.07 176.14
00:48.903 30 -1.49 -2.01 176.22
00:49.141 30 -1.63 -1.92 176.16
00:49.518 30 -1.51 -1.79 176.24
00:49.751 30 -1.34 -1.77 176.30
00:49.887 30 -1.24 -1.76 176.39
00:50.838 30 -1.31 -1.76 176.36
00:50.913 30 -1.22 -1.65 176.40
00:51.216 30 -1.09 -1.64 176.45
00:51.262 30 -1.11 -1.59 176.45
00:51.921 30 -0.92 -1.52 176.45
00:51.965 30 -0.96 -1.48 176.53
00:52.197 30 -0.87 -1.50 176.62
00:52.287 30 -0.72 -1.48 176.68
00:52.707 30 0.28 0.91 174.13
00:53.197 30 0.24 0.94 174.07
00:53.742 30 0.13 1.13 174.09
00:53.948 30 -0.02 1.45 174.10
00:54.170 30 -0.10 1.69 174.13
00:54.530 30 -0.12 1.74 174.14
00:54.751 30 -0.10 1.69 174.15
00:54.862 30 -0.11 1.68 174.14
00:55.167 30 -0.12 1.72 174.15
00:55.875 30 -0.12 1.73 174.15
00:56.289 30 -0.14 1.72 174.15
00:56.342 30 -0.13 1.74 174.16
00:56.998 30 -0.14 1.77 174.16
00:57.163 30 -0.14 1.78 174.16
00:57.471 30 -0.14 1.78 174.16
00:57.904 30 -0.16 1.78 174.17
00:58.159 30 -0.16 1.80 174.17
00:58.265 30 -0.17 1.80 174.17
00:59.007 30 -0.16 1.81 174.17
01:00.275 30 -0.15 1.30 174.38
01:00.481 30 -0.16 1.28 174.39
01:00.700 30 -0.16 1.27 174.39
01:01.900 30 -0.16 1.27 174.39
01:01.949 30 -0.16 1.27 174.40
01:02.180 30 -0.16 1.27 174.40
01:02.633 30 -0.16 1.27 174.40
01:02.866 30 -0.16 1.27 174.40
01:02.911 30 -0.16 1.27 174.40
01:03.172 30 -0.16 1.27 174.40
01:03.482 30 -0.16 1.26 174.40
01:03.784 30 -0.16 1.26 174.40
01:03.890 30 -0.16 1.26 174.40
01:04.642 30 -0.16 1.26 174.40
01:04.713 30 -0.16 1.26 174.41
01:04.938 30 -0.16 1.26 174.41
01:05.376 30 -0.16 1.26 174.41
01:05.601 30 -0.23 0.91 174.66
01:05.711 30 -0.22 0.91 174.66
01:05.966 30 -0.22 0.91 174.67
01:06.391 30 -0.22 0.91 174.68
01:06.666 30 -0.22 0.91 174.68
01:06.884 30 -0.22 0.91 174.68
01:07.127 30 -0.22 0.91 174.69
01:07.733 30 -0.22 0.92 174.69
01:08.975 30 -0.22 0.92 174.69
01:09.108 30 -0.23 0.92 174.69
01:09.245 30 -0.23 0.92 174.69
01:09.712 30 -0.23 0.92 174.69
01:09.853 30 -0.23 0.92 174.69
01:10.049 30 -0.23 0.92 174.70
01:10.524 30 -0.23 0.92 174.70
01:10.654 30 -0.23 0.92 174.70
01:10.800 30 -0.23 0.92 174.70
01:11.009 30 -0.22 0.92 174.70
01:11.665 30 -0.22 0.92 174.70
01:11.811 30 8.82 -50.60 147.64
01:12.296 30 4.12 -47.94 147.11
01:12.656 30 -7.07 -49.48 144.31
01:13.277 30 -16.70 -53.63 136.17
01:13.546 30 -17.94 -55.48 133.05
01:14.739 30 -18.13 -55.83 132.44
01:14.942 30 -18.27 -56.06 132.04
01:15.081 30 -18.41 -56.27 131.69
01:15.551 30 -18.54 -56.45 131.40
01:15.710 30 -18.66 -56.62 131.17
01:15.902 30 -18.82 -56.78 130.94
01:16.436 30 -18.95 -56.84 130.82
