timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
00:00.554 0 0.624709 0.130656 6.767091 171.45 -7.13 157.41
00:00.633 0 0.634176 0.133115 6.576449 162.01 0.23 157.19
00:02.336 0 0.657275 0.089579 6.540680 162.69 -2.92 157.88
00:02.369 0 0.674371 0.074537 6.644064 3.81 175.60 -21.41
00:02.402 0 0.661635 0.059922 6.525956 163.27 -5.66 157.70
00:02.434 0 0.630116 0.037012 6.317120 21.77 -168.20 -17.76
00:02.470 0 0.639755 0.010190 6.583338 165.57 -4.25 156.75
00:02.502 0 0.628607 0.006596 6.506777 165.53 -2.50 157.51
00:02.537 0 0.636072 0.019279 6.626720 0.43 178.94 -20.66
00:02.570 0 0.639781 0.035921 6.554116 167.95 -2.48 158.68
00:02.605 0 0.668681 0.027753 6.509932 165.22 -0.88 159.04
00:02.636 0 0.685273 0.006542 6.475708 165.08 0.24 159.32
00:02.969 0 0.797082 -0.224061 6.606965 6.95 178.38 -19.56
00:03.002 0 0.760345 -0.277997 6.496179 170.88 -3.82 159.10
00:03.036 0 0.743328 -0.330360 6.555925 170.83 -6.56 159.07
00:03.069 0 0.709540 -0.365624 6.578692 174.71 -15.10 158.32
00:03.103 0 0.646597 -0.381468 6.523759 173.93 -1.90 159.77
00:03.136 0 0.570827 -0.385119 6.556041 171.79 -7.18 158.02
00:03.169 0 0.489490 -0.391375 6.495036 168.35 -2.19 159.16
00:03.205 0 0.436992 -0.402939 6.561922 0.09 175.19 -19.98
00:03.236 0 0.402261 -0.407929 6.533791 172.07 -1.17 159.52
00:03.269 0 0.355687 -0.452475 6.601896 10.89 178.97 -19.08
00:03.302 0 0.313261 -0.494323 6.594629 7.04 177.20 -19.43
00:03.335 0 0.265376 -0.542046 6.647552 4.79 172.84 -20.36
00:03.367 0 0.254581 -0.550201 6.515012 175.01 1.14 160.44
00:03.401 0 0.298594 -0.526555 6.434670 168.08 0.69 159.88
00:03.435 0 0.303582 -0.539373 6.463060 170.17 -0.03 160.21
00:03.469 0 0.313530 -0.556420 6.446966 172.25 2.38 159.70
00:03.502 0 0.331084 -0.604003 6.584325 170.76 -2.24 159.84
00:03.603 0 0.321945 -0.659866 6.532099 176.86 0.89 160.42
00:03.634 0 0.259763 -0.648219 6.519072 173.06 0.87 159.83
00:03.701 0 0.157645 -0.553999 6.524011 171.88 3.06 159.96
00:03.767 0 0.030811 -0.443881 6.567829 174.06 4.53 160.30
00:03.801 0 0.020649 -0.384091 6.574757 176.77 10.27 160.33
00:03.836 0 -0.006645 -0.336497 6.332357 23.99 -177.33 -19.12
00:03.868 0 -0.049845 -0.340590 6.589172 177.93 5.91 160.59
00:03.902 0 -0.130902 -0.332065 6.567629 175.53 -1.70 159.65
00:03.934 0 -0.176216 -0.316893 6.441612 169.09 9.05 160.54
00:03.968 0 -0.206410 -0.309895 6.572973 169.24 -2.21 159.11
00:03.999 0 -0.220205 -0.303703 6.613963 168.33 0.33 159.47
00:04.036 0 -0.219893 -0.285125 6.559401 171.33 3.71 160.06
00:04.067 0 -0.226055 -0.277919 6.558891 174.36 4.08 160.50
00:04.101 0 -0.189464 -0.255622 6.564881 0.54 169.75 -20.54
00:04.136 0 -0.130587 -0.198912 6.401249 16.78 -175.32 -19.74
00:04.167 0 -0.076427 -0.145346 6.616576 6.63 166.42 -21.08
00:04.203 0 -0.071940 -0.066728 6.487547 170.60 8.05 159.67
00:04.234 0 -0.062892 0.000380 6.342489 160.33 4.46 160.38
00:04.267 0 -0.043210 0.057483 6.445703 172.80 14.44 160.18
00:04.302 0 -0.034107 0.127933 6.588369 0.49 170.35 -20.99
00:04.335 0 -0.046488 0.201408 6.457644 165.71 1.39 160.49
00:04.367 0 -0.099935 0.258651 6.529730 170.07 9.46 159.86
00:04.401 0 -0.138507 0.278227 6.375538 164.66 14.06 160.66
00:04.436 0 -0.201289 0.324198 6.572486 169.51 -2.55 159.76
00:04.470 0 -0.244507 0.374474 6.578177 173.87 9.80 160.50
00:04.503 0 -0.268790 0.427867 6.476224 162.66 5.94 161.19
00:04.535 0 -0.250649 0.465678 6.471456 164.44 6.89 161.68
00:04.569 0 -0.218253 0.488349 6.362691 159.96 10.69 161.69
00:04.602 0 -0.213218 0.530518 6.610686 167.61 3.57 160.82
00:04.634 0 -0.169891 0.539603 6.455164 161.57 2.63 161.64
00:04.668 0 -0.156206 0.518988 6.488376 164.87 5.37 161.37
00:04.702 0 -0.126984 0.516131 6.522337 5.37 178.32 -19.72
00:04.736 0 -0.153401 0.492883 6.530782 174.64 9.10 161.41
00:04.768 0 -0.108884 0.520238 6.514999 177.40 11.30 160.70
00:04.800 0 -0.093750 0.514074 6.337520 162.81 11.09 162.32
00:04.835 0 -0.049179 0.537670 6.414661 161.90 0.52 161.55
00:04.870 0 -0.001024 0.520685 6.304653 157.68 -0.06 161.75
00:04.903 0 0.064151 0.535280 6.467920 166.90 0.25 161.36
00:04.970 0 0.175249 0.556541 6.383307 5.50 -175.42 -18.00
00:05.001 0 0.234426 0.576086 6.386190 162.88 4.13 161.48
00:05.035 0 0.280895 0.592544 6.439363 165.84 -8.29 160.63
00:05.069 0 0.297679 0.557247 6.162432 13.33 -172.97 -17.55
00:05.101 0 0.359233 0.564980 6.255671 161.96 -2.78 160.55
00:05.967 0 0.480495 -0.052197 5.484613 17.94 -175.32 -20.55
00:06.001 0 0.361284 -0.058494 5.535586 171.78 -7.95 158.26
00:06.035 0 0.267375 -0.051478 5.377059 168.29 1.82 158.92
00:06.068 0 0.208573 -0.035689 5.428051 173.32 2.79 158.91
00:06.102 0 0.187550 -0.009609 5.289055 165.35 3.95 158.27
00:06.135 0 0.172388 0.011592 5.284141 165.61 2.80 158.29
00:06.168 0 0.243999 0.033506 5.238245 167.46 5.87 157.82
00:06.202 0 0.303313 0.027842 5.278782 175.18 4.23 158.28
00:06.234 0 0.345796 -0.001103 5.159208 163.67 -0.16 158.12
00:06.272 0 0.365538 -0.073107 5.267203 172.08 -3.48 157.85
00:06.303 0 0.371024 -0.155775 5.318047 6.81 -177.35 -21.88
00:06.335 0 0.328178 -0.263612 5.021795 166.27 1.31 157.38
00:06.369 0 0.335560 -0.373333 5.148243 13.48 -178.05 -22.24
00:06.403 0 0.383648 -0.545401 5.849861 173.99 -10.44 157.48
00:06.435 0 0.379830 -0.559315 5.090817 11.79 177.92 -22.86
00:06.467 0 0.442343 -0.632765 5.009377 178.92 -6.37 156.39
00:06.501 0 0.525827 -0.698450 4.968993 178.69 -11.47 156.02
00:06.901 0 0.509242 -0.700037 4.579091 1.59 179.83 -21.66
00:06.936 0 0.489463 -0.625471 4.503635 176.86 0.64 158.10
