timestamp msgid x y z
MM:SS.xxx ID m m m
00:00.452 32 0.012253 -0.011560 0.006501
00:00.886 32 0.012250 -0.011518 0.007002
00:01.295 32 0.012241 -0.011498 0.007357
00:01.931 32 0.012240 -0.011497 0.007602
00:02.347 32 0.012244 -0.011495 0.008009
00:02.741 32 0.012250 -0.011492 0.008383
00:03.417 32 0.012252 -0.011487 0.008656
00:03.861 32 0.012248 -0.011478 0.009100
00:04.254 32 0.012219 -0.011500 0.009500
00:04.823 32 0.012195 -0.011519 0.009921
00:05.241 32 0.012161 -0.011541 0.010512
00:05.637 32 0.012139 -0.011554 0.011083
00:06.309 32 0.012106 -0.011599 0.011956
00:06.768 32 0.012091 -0.011623 0.012451
00:07.189 32 0.012068 -0.011669 0.012980
00:07.791 32 0.012042 -0.011726 0.013388
00:08.223 32 0.012027 -0.011770 0.014076
00:08.622 32 0.012016 -0.011802 0.014609
00:09.301 32 0.012014 -0.011845 0.015449
00:09.748 32 0.012029 -0.011899 0.016356
00:10.144 32 0.012036 -0.011938 0.016968
00:10.715 32 0.012052 -0.011999 0.017746
00:11.130 32 0.012078 -0.012065 0.018494
00:11.529 32 0.012101 -0.012113 0.019028
00:12.223 32 0.012143 -0.012172 0.019762
00:12.665 32 0.012188 -0.012232 0.020638
00:13.071 32 0.012220 -0.012283 0.021323
00:13.661 32 0.012254 -0.012349 0.022095
00:15.133 32 0.244923 0.121965 -7.973324
00:15.996 32 0.221772 0.102914 -7.978738
00:17.333 32 0.215724 0.097998 -7.981335
00:18.417 32 0.209870 0.093506 -7.984162
00:19.188 32 0.204669 0.090459 -7.985797
00:20.384 32 0.198456 0.086971 -7.988270
00:21.042 32 0.264607 0.127602 -6.697066
00:21.832 32 0.269797 0.150245 -6.560984
00:23.575 32 0.274686 0.152274 -6.489593
00:24.494 32 0.279112 0.149240 -6.424871
00:25.343 32 0.285073 0.139565 -6.352355
00:26.524 32 0.291583 0.125696 -6.278390
00:27.278 32 0.167970 0.377595 -2.293697
00:28.928 32 0.166846 0.377745 -2.238475
00:29.867 32 0.165297 0.377581 -2.183045
00:30.862 32 0.164003 0.376464 -2.127525
00:31.902 32 0.162017 0.377415 -2.072151
00:32.873 32 0.159669 0.379659 -2.017548
00:34.009 32 0.155746 0.328379 -1.355719
00:35.037 32 0.161567 0.328586 -1.360449
00:36.797 32 0.162235 0.328285 -1.359520
00:37.690 32 0.162901 0.328619 -1.360274
00:38.468 32 0.163601 0.329010 -1.361063
00:39.614 32 0.164519 0.329242 -1.361169
00:40.872 32 0.305399 0.310480 -1.496132
00:41.603 32 0.307219 0.310300 -1.498272
00:43.374 32 0.307735 0.310257 -1.499327
00:44.205 32 0.306947 0.311708 -1.501555
00:45.050 32 0.306480 0.312288 -1.502782
00:46.630 32 0.376486 0.366626 -1.545302
00:47.597 32 0.382183 0.370804 -1.545408
