timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
00:30.816 0 -0.043765 -1.196359 1.726629 177.74 2.03 155.14
00:30.836 0 -0.041562 -1.194687 1.775760 172.23 0.37 155.25
00:30.868 0 -0.023322 -1.190713 1.756447 178.32 1.55 154.96
00:30.901 0 -0.012745 -1.179636 1.798550 178.30 3.03 155.02
00:30.934 0 0.003259 -1.177930 1.809509 172.15 2.97 155.17
00:30.968 0 0.012039 -1.175874 1.839850 171.19 1.01 155.50
00:31.000 0 0.027330 -1.174464 1.837441 170.57 1.27 155.43
00:31.034 0 0.045385 -1.168346 1.851740 171.87 2.74 155.28
00:31.067 0 0.056516 -1.166088 1.852071 176.47 2.82 155.06
00:31.101 0 0.072138 -1.179389 1.736893 14.31 -177.47 -26.75
00:31.134 0 0.072574 -1.181721 1.872844 168.85 2.03 155.43
00:31.169 0 0.082225 -1.188773 1.896474 175.49 6.59 155.28
00:31.201 0 0.085215 -1.181666 2.044783 171.86 2.29 155.87
00:31.234 0 0.110900 -1.213944 1.817560 10.44 -179.58 -25.09
00:31.269 0 0.129483 -1.233229 1.886853 167.15 0.38 155.91
00:32.601 0 0.095778 -1.127482 1.952480 171.41 6.32 155.09
00:32.634 0 0.082758 -1.121767 1.947014 171.63 6.89 155.23
00:32.667 0 0.061832 -1.117196 1.954145 169.84 -0.98 155.44
00:32.701 0 0.054095 -1.114426 1.944572 177.11 1.08 155.17
00:32.735 0 0.040379 -1.122459 1.963282 174.74 1.97 155.31
00:32.766 0 0.044375 -1.150726 1.862337 12.93 -179.42 -26.96
00:32.801 0 0.019157 -1.181954 1.978562 179.65 5.83 155.17
00:32.835 0 0.003899 -1.214418 1.995773 179.23 10.53 155.00
00:32.867 0 -0.009729 -1.250824 1.974891 1.26 178.59 -24.81
00:32.900 0 -0.018311 -1.276042 2.014201 179.18 4.58 155.41
00:32.934 0 -0.029964 -1.297752 2.023821 0.29 173.61 -24.73
00:32.965 0 -0.043380 -1.322338 2.010766 3.23 175.56 -24.71
00:33.000 0 -0.058260 -1.347097 2.014033 3.27 175.50 -24.48
00:33.032 0 -0.053634 -1.358706 1.918809 18.03 178.69 -27.59
00:33.066 0 -0.078985 -1.373668 2.037398 1.92 174.31 -24.39
00:33.099 0 -0.095480 -1.381243 2.049186 175.73 -1.40 156.27
00:33.133 0 -0.087074 -1.372617 1.927572 18.17 179.69 -27.15
00:33.166 0 -0.116970 -1.364399 2.053889 0.48 168.51 -24.37
00:33.201 0 -0.130865 -1.351593 2.028115 4.15 174.31 -24.38
00:33.233 0 -0.150503 -1.333663 2.042946 0.65 177.95 -23.78
00:33.267 0 -0.185587 -1.294216 2.193989 1.26 175.75 -23.57
00:33.300 0 -0.193353 -1.280662 2.067879 174.86 2.06 156.56
00:33.333 0 -0.199297 -1.253238 2.018312 4.14 177.18 -24.32
00:33.368 0 -0.226516 -1.225213 2.079178 174.30 7.24 156.71
00:33.400 0 -0.225363 -1.212421 2.011645 4.19 178.19 -24.22
00:33.434 0 -0.255199 -1.175052 2.212014 1.02 175.81 -23.57
00:33.467 0 -0.187516 -1.200532 1.927918 15.93 176.07 -27.63
00:33.500 0 -0.192983 -1.197499 2.061376 5.38 170.82 -24.90
00:33.534 0 -0.170549 -1.212993 2.051500 6.58 174.40 -25.05
00:33.566 0 -0.159106 -1.221909 2.107190 4.96 171.59 -24.83
00:33.600 0 -0.137884 -1.229603 2.093679 4.41 174.58 -24.61
