timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:38.976 0 0.067938 1.391776 -0.835995 173.71 9.65 169.80
01:43.663 0 0.332290 1.855865 3.235596 156.62 0.31 169.28
01:45.747 0 0.063063 1.435037 3.089063 13.64 -179.92 -12.23
01:45.768 0 -0.189706 1.241566 3.135554 9.14 174.53 -11.64
01:45.787 0 -0.385525 1.121060 2.807661 20.87 172.32 -14.53
01:45.826 0 -0.587873 1.013721 2.974715 169.60 9.22 169.93
01:45.850 0 -0.651898 1.004043 2.983991 7.16 168.61 -12.56
01:47.595 0 -0.385792 0.012923 3.886086 174.18 7.18 167.21
01:47.629 0 -0.369732 0.028548 3.888073 174.71 8.76 167.93
01:47.663 0 -0.344441 0.031261 3.922957 173.73 7.34 167.48
01:47.695 0 -0.311393 0.029915 3.930046 172.54 6.28 167.55
01:47.729 0 -0.300306 0.025485 3.956501 175.23 5.93 166.89
01:47.761 0 -0.299118 0.030500 3.948765 176.93 7.76 166.82
01:47.795 0 -0.294499 0.028310 3.930337 174.50 8.50 168.12
01:47.828 0 -0.286573 0.001680 3.990667 179.35 8.12 166.95
01:47.861 0 -0.280643 -0.020851 3.953089 176.89 9.12 167.59
01:48.824 0 0.050877 0.048499 3.748539 4.28 167.22 -9.99
01:48.926 0 0.110937 0.397531 3.571029 1.67 162.21 -9.40
01:48.991 0 0.114853 0.592596 3.684820 178.89 11.23 170.81
01:49.025 0 0.143025 0.681209 3.727245 177.93 7.29 170.20
01:49.059 0 0.179348 0.765876 3.701161 177.94 6.46 170.57
01:49.093 0 0.233140 0.844436 3.657077 170.94 5.10 170.22
01:49.126 0 0.266350 0.910149 3.639406 168.94 -0.82 169.83
01:49.192 0 0.322775 1.051139 3.579489 167.35 2.87 170.52
01:49.227 0 0.336775 1.116159 3.581360 171.40 0.05 170.02
01:49.259 0 0.338654 1.174717 3.493597 162.96 -4.68 169.27
01:49.360 0 0.323723 1.381213 3.461689 166.09 -1.64 168.85
01:49.424 0 0.300958 1.509533 3.404381 166.18 0.56 168.77
01:49.492 0 0.274949 1.656575 3.404382 177.32 7.32 169.18
01:49.526 0 0.256848 1.719727 3.352638 0.64 -179.80 -11.42
01:49.561 0 0.236255 1.773210 3.354794 179.50 -2.01 168.69
01:49.594 0 0.218992 1.793545 3.229829 158.13 -2.50 167.89
