timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
00:00.137 30 -0.35 -0.51 117.80
00:00.449 30 -0.36 -0.54 117.80
00:00.577 30 -0.36 -0.56 117.80
00:00.666 30 -0.35 -0.56 117.80
00:00.833 30 -0.36 -0.54 117.80
00:00.948 30 -0.35 -0.51 117.79
00:01.131 30 -0.36 -0.47 117.78
00:01.262 30 -0.36 -0.41 117.76
00:01.382 30 -0.35 -0.38 117.75
00:01.515 30 -0.35 -0.37 117.75
00:01.714 30 -0.35 -0.37 117.76
00:01.997 30 -0.34 -0.39 117.77
00:02.121 30 -0.34 -0.42 117.78
00:02.206 30 -0.34 -0.46 117.79
00:02.371 30 -0.34 -0.48 117.79
00:02.467 30 -0.34 -0.49 117.79
00:02.660 30 -0.34 -0.49 117.79
00:02.791 30 -0.34 -0.48 117.79
00:02.906 30 -0.34 -0.46 117.79
00:02.988 30 -0.34 -0.45 117.80
00:03.177 30 -0.34 -0.45 117.80
00:03.507 30 -0.35 -0.46 117.79
00:03.638 30 -0.36 -0.49 117.80
00:03.723 30 -0.36 -0.51 117.80
00:03.896 30 -0.36 -0.53 117.80
00:04.015 30 -0.36 -0.54 117.80
00:04.202 30 -0.36 -0.54 117.81
00:04.342 30 -0.36 -0.53 117.80
00:04.521 30 -0.36 -0.53 117.80
00:04.614 30 -0.36 -0.52 117.80
00:04.809 30 -0.36 -0.52 117.80
00:05.084 30 -0.36 -0.52 117.81
00:05.203 30 -0.36 -0.52 117.81
00:05.286 30 -0.36 -0.51 117.82
00:05.447 30 -0.36 -0.48 117.82
00:05.533 30 -0.36 -0.46 117.81
00:05.707 30 -0.35 -0.45 117.81
00:05.845 30 -0.35 -0.44 117.81
00:05.975 30 -0.35 -0.45 117.81
00:06.064 30 -0.35 -0.47 117.81
00:06.263 30 -0.36 -0.52 117.81
00:06.604 30 -0.36 -0.55 117.81
00:06.732 30 -0.36 -0.58 117.81
00:06.824 30 -0.36 -0.62 117.83
00:06.990 30 -0.37 -0.63 117.83
00:07.078 30 -0.37 -0.63 117.83
00:07.298 30 -0.37 -0.63 117.82
00:07.426 30 -0.37 -0.60 117.81
00:07.553 30 -0.37 -0.59 117.81
00:07.690 30 -0.37 -0.56 117.81
00:07.879 30 -0.37 -0.53 117.82
00:08.164 30 -0.39 -0.51 117.83
00:08.291 30 -0.40 -0.51 117.83
00:08.383 30 -0.41 -0.53 117.84
00:08.552 30 -0.42 -0.55 117.83
00:08.640 30 -0.42 -0.58 117.83
00:08.822 30 -0.42 -0.61 117.82
00:08.950 30 -0.43 -0.63 117.82
00:09.072 30 -0.45 -0.66 117.82
00:09.162 30 -0.46 -0.68 117.83
00:09.364 30 -0.48 -0.69 117.84
00:09.723 30 -0.50 -0.72 117.84
00:09.844 30 -0.51 -0.74 117.85
