timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
00:00.046 30 0.76 -1.68 5.08
00:00.130 30 0.76 -1.68 5.08
00:00.285 30 0.76 -1.68 5.08
00:00.369 30 0.76 -1.68 5.08
00:00.493 30 0.76 -1.68 5.08
00:00.625 30 0.76 -1.68 5.08
00:00.748 30 0.76 -1.68 5.08
00:00.857 30 0.76 -1.68 5.08
00:01.047 30 0.76 -1.68 5.08
00:01.340 30 0.76 -1.68 5.08
00:01.460 30 0.76 -1.68 5.08
00:01.553 30 0.76 -1.68 5.07
00:01.717 30 0.76 -1.68 5.08
00:01.808 30 0.76 -1.68 5.07
00:01.933 30 0.76 -1.68 5.07
00:02.057 30 0.76 -1.68 5.07
00:02.177 30 0.76 -1.68 5.07
00:02.263 30 0.76 -1.68 5.07
00:02.451 30 0.76 -1.68 5.07
00:02.790 30 0.76 -1.68 5.07
00:02.914 30 0.76 -1.68 5.07
00:03.003 30 0.76 -1.68 5.07
00:03.169 30 0.76 -1.68 5.07
00:03.255 30 0.76 -1.68 5.07
00:03.372 30 0.75 -1.68 5.07
00:03.509 30 0.76 -1.68 5.07
00:03.630 30 0.76 -1.69 5.07
00:03.743 30 0.75 -1.69 5.07
00:03.931 30 0.75 -1.69 5.07
00:04.217 30 0.75 -1.69 5.07
00:04.337 30 0.75 -1.69 5.07
00:04.425 30 0.75 -1.69 5.07
00:04.594 30 0.75 -1.69 5.06
00:04.679 30 0.75 -1.69 5.07
00:04.806 30 0.75 -1.69 5.07
00:04.939 30 0.75 -1.69 5.06
00:05.059 30 0.75 -1.69 5.06
00:05.145 30 0.75 -1.69 5.06
00:05.341 30 0.75 -1.69 5.06
00:05.694 30 0.75 -1.69 5.07
00:05.816 30 0.76 -1.69 5.06
00:05.904 30 0.76 -1.69 5.06
00:06.061 30 0.76 -1.69 5.06
00:06.151 30 0.76 -1.69 5.06
00:06.272 30 0.76 -1.69 5.06
00:06.405 30 0.76 -1.69 5.06
00:06.535 30 0.76 -1.69 5.06
00:06.624 30 0.76 -1.69 5.06
00:06.849 30 0.76 -1.69 5.06
