timestamp msgid x y z
MM:SS.xxx ID m m m
02:11.059 32 60.843323 10.212588 -2.878434
02:12.075 32 60.842983 10.211786 -2.874940
02:13.809 32 60.842937 10.211722 -2.874631
02:14.730 32 60.842884 10.211683 -2.874284
02:15.510 32 60.842819 10.211632 -2.873876
02:16.566 32 60.842773 10.211591 -2.873532
02:18.008 32 60.843304 10.212616 -2.824059
02:19.073 32 60.841915 10.212803 -2.821548
02:20.816 32 60.841850 10.212845 -2.821626
02:21.661 32 60.841766 10.212899 -2.821589
02:22.443 32 60.841686 10.212945 -2.821353
02:24.777 32 60.841198 10.213625 -2.788804
02:25.487 32 60.841084 10.213897 -2.787519
02:27.226 32 60.841072 10.213935 -2.787459
02:28.070 32 60.841042 10.213953 -2.787179
02:28.855 32 60.841015 10.213969 -2.786931
02:30.392 32 60.840473 10.214330 -2.780440
02:31.387 32 60.840122 10.214469 -2.780246
02:32.918 32 60.840000 10.214522 -2.780410
02:33.672 32 60.839912 10.214541 -2.780145
02:34.786 32 60.839863 10.214544 -2.780162
